season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium,url
2009,6,monaco,raikkonen,1979-10-17,Finnish,ferrari,2,6057724.0,Finished,6.0,3,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,massa,1981-04-25,Brazilian,ferrari,5,6059392.0,Finished,5.0,4,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,webber,1976-08-27,Australian,red_bull,8,6060012.0,Finished,4.0,5,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,rosberg,1985-06-27,German,williams,6,6077868.0,Finished,3.0,6,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,alonso,1981-07-29,Spanish,renault,9,6082121.0,Finished,2.0,7,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,bourdais,1979-02-28,French,toro_rosso,14,6107424.0,Finished,1.0,8,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,fisichella,1973-01-14,Italian,force_india,13,6109322.0,Finished,0.0,9,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,glock,1982-03-18,German,toyota,20,,+1 Lap,0.0,10,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,heidfeld,1977-05-10,German,bmw_sauber,16,,+1 Lap,0.0,11,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,hamilton,1985-01-07,British,mclaren,19,,+1 Lap,0.0,12,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,trulli,1974-07-13,Italian,toyota,18,,+1 Lap,0.0,13,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,sutil,1983-01-11,German,force_india,15,,+1 Lap,0.0,14,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,nakajima,1985-01-11,Japanese,williams,10,,Accident,0.0,15,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,kovalainen,1981-10-19,Finnish,mclaren,7,,Accident,0.0,16,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,kubica,1984-12-07,Polish,bmw_sauber,17,,Brakes,0.0,17,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,vettel,1987-07-03,German,red_bull,4,,Accident,0.0,18,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,piquet_jr,1985-07-25,Brazilian,renault,12,,Collision,0.0,19,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,6,monaco,buemi,1988-10-31,Swiss,toro_rosso,11,,Collision,0.0,20,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
2009,7,istanbul,button,1980-01-19,British,brawn,2,5184848.0,Finished,10.0,1,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,webber,1976-08-27,Australian,red_bull,4,5191562.0,Finished,8.0,2,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,vettel,1987-07-03,German,red_bull,1,5192309.0,Finished,6.0,3,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,trulli,1974-07-13,Italian,toyota,5,5212691.0,Finished,5.0,4,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,rosberg,1985-06-27,German,williams,9,5216387.0,Finished,4.0,5,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,massa,1981-04-25,Brazilian,ferrari,7,5224844.0,Finished,3.0,6,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,kubica,1984-12-07,Polish,bmw_sauber,10,5231095.0,Finished,2.0,7,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,glock,1982-03-18,German,toyota,13,5231807.0,Finished,1.0,8,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,raikkonen,1979-10-17,Finnish,ferrari,6,5235094.0,Finished,0.0,9,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,alonso,1981-07-29,Spanish,renault,8,5247268.0,Finished,0.0,10,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,heidfeld,1977-05-10,German,bmw_sauber,11,5249175.0,Finished,0.0,11,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,nakajima,1985-01-11,Japanese,williams,12,5251224.0,Finished,0.0,12,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,hamilton,1985-01-07,British,mclaren,16,5265302.0,Finished,0.0,13,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,kovalainen,1981-10-19,Finnish,mclaren,14,,+1 Lap,0.0,14,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,buemi,1988-10-31,Swiss,toro_rosso,18,,+1 Lap,0.0,15,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,piquet_jr,1985-07-25,Brazilian,renault,17,,+1 Lap,0.0,16,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,sutil,1983-01-11,German,force_india,15,,+1 Lap,0.0,17,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,bourdais,1979-02-28,French,toro_rosso,20,,+1 Lap,0.0,18,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,barrichello,1972-05-23,Brazilian,brawn,3,,Gearbox,0.0,19,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,7,istanbul,fisichella,1973-01-14,Italian,force_india,19,,Brakes,0.0,20,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
2009,8,silverstone,vettel,1987-07-03,German,red_bull,1,4969328.0,Finished,10.0,1,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,webber,1976-08-27,Australian,red_bull,3,4984516.0,Finished,8.0,2,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,barrichello,1972-05-23,Brazilian,brawn,2,5010503.0,Finished,6.0,3,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,massa,1981-04-25,Brazilian,ferrari,11,5014371.0,Finished,5.0,4,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,rosberg,1985-06-27,German,williams,7,5015243.0,Finished,4.0,5,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,button,1980-01-19,British,brawn,6,5015613.0,Finished,3.0,6,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,trulli,1974-07-13,Italian,toyota,4,5037635.0,Finished,2.0,7,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,raikkonen,1979-10-17,Finnish,ferrari,9,5038950.0,Finished,1.0,8,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,glock,1982-03-18,German,toyota,8,5039151.0,Finished,0.0,9,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,fisichella,1973-01-14,Italian,force_india,16,5040850.0,Finished,0.0,10,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,nakajima,1985-01-11,Japanese,williams,5,5043351.0,Finished,0.0,11,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,piquet_jr,1985-07-25,Brazilian,renault,14,,+1 Lap,0.0,12,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,kubica,1984-12-07,Polish,bmw_sauber,12,,+1 Lap,0.0,13,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,alonso,1981-07-29,Spanish,renault,10,,+1 Lap,0.0,14,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,heidfeld,1977-05-10,German,bmw_sauber,15,,+1 Lap,0.0,15,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,hamilton,1985-01-07,British,mclaren,18,,+1 Lap,0.0,16,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,sutil,1983-01-11,German,force_india,20,,+1 Lap,0.0,17,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,buemi,1988-10-31,Swiss,toro_rosso,19,,+1 Lap,0.0,18,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,bourdais,1979-02-28,French,toro_rosso,17,,Collision,0.0,19,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,8,silverstone,kovalainen,1981-10-19,Finnish,mclaren,13,,Collision,0.0,20,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
2009,9,nurburgring,webber,1976-08-27,Australian,red_bull,1,5803310.0,Finished,10.0,1,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,vettel,1987-07-03,German,red_bull,4,5812562.0,Finished,8.0,2,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,massa,1981-04-25,Brazilian,ferrari,8,5819216.0,Finished,6.0,3,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,rosberg,1985-06-27,German,williams,15,5824409.0,Finished,5.0,4,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,button,1980-01-19,British,brawn,3,5826919.0,Finished,4.0,5,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,barrichello,1972-05-23,Brazilian,brawn,2,5827778.0,Finished,3.0,6,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,alonso,1981-07-29,Spanish,renault,12,5828198.0,Finished,2.0,7,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,kovalainen,1981-10-19,Finnish,mclaren,6,5862002.0,Finished,1.0,8,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,glock,1982-03-18,German,toyota,20,5864767.0,Finished,0.0,9,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,heidfeld,1977-05-10,German,bmw_sauber,11,5865235.0,Finished,0.0,10,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,fisichella,1973-01-14,Italian,force_india,18,5865637.0,Finished,0.0,11,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,nakajima,1985-01-11,Japanese,williams,13,5866186.0,Finished,0.0,12,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,piquet_jr,1985-07-25,Brazilian,renault,10,5871638.0,Finished,0.0,13,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,kubica,1984-12-07,Polish,bmw_sauber,16,5872865.0,Finished,0.0,14,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,sutil,1983-01-11,German,force_india,7,5875251.0,Finished,0.0,15,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,buemi,1988-10-31,Swiss,toro_rosso,17,5893535.0,Finished,0.0,16,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
2009,9,nurburgring,trulli,1974-07-13,Italian,toyota,14,5894280.0,Finished,0.0,17,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
