season,round,circuit_id,lat,long,country,date,url
2016,5,catalunya,41.57,2.26111,Spain,2016-05-15,https://en.wikipedia.org/wiki/2016_Spanish_Grand_Prix
2016,6,monaco,43.7347,7.42056,Monaco,2016-05-29,https://en.wikipedia.org/wiki/2016_Monaco_Grand_Prix
2016,7,villeneuve,45.5,-73.5228,Canada,2016-06-12,https://en.wikipedia.org/wiki/2016_Canadian_Grand_Prix
2016,8,BAK,40.3725,49.8533,Azerbaijan,2016-06-19,https://en.wikipedia.org/wiki/2016_European_Grand_Prix
2016,9,red_bull_ring,47.2197,14.7647,Austria,2016-07-03,https://en.wikipedia.org/wiki/2016_Austrian_Grand_Prix
2016,10,silverstone,52.0786,-1.01694,UK,2016-07-10,https://en.wikipedia.org/wiki/2016_British_Grand_Prix
2016,11,hungaroring,47.5789,19.2486,Hungary,2016-07-24,https://en.wikipedia.org/wiki/2016_Hungarian_Grand_Prix
2016,12,hockenheimring,49.3278,8.56583,Germany,2016-07-31,https://en.wikipedia.org/wiki/2016_German_Grand_Prix
2016,13,spa,50.4372,5.97139,Belgium,2016-08-28,https://en.wikipedia.org/wiki/2016_Belgian_Grand_Prix
2016,14,monza,45.6156,9.28111,Italy,2016-09-04,https://en.wikipedia.org/wiki/2016_Italian_Grand_Prix
2016,15,marina_bay,1.2914,103.864,Singapore,2016-09-18,https://en.wikipedia.org/wiki/2016_Singapore_Grand_Prix
2016,16,sepang,2.76083,101.738,Malaysia,2016-10-02,https://en.wikipedia.org/wiki/2016_Malaysian_Grand_Prix
2016,17,suzuka,34.8431,136.541,Japan,2016-10-09,https://en.wikipedia.org/wiki/2016_Japanese_Grand_Prix
2016,18,americas,30.1328,-97.6411,USA,2016-10-23,https://en.wikipedia.org/wiki/2016_United_States_Grand_Prix
2016,19,rodriguez,19.4042,-99.0907,Mexico,2016-10-30,https://en.wikipedia.org/wiki/2016_Mexican_Grand_Prix
2016,20,interlagos,-23.7036,-46.6997,Brazil,2016-11-13,https://en.wikipedia.org/wiki/2016_Brazilian_Grand_Prix
2016,21,yas_marina,24.4672,54.6031,UAE,2016-11-27,https://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix
2017,1,albert_park,-37.8497,144.968,Australia,2017-03-26,https://en.wikipedia.org/wiki/2017_Australian_Grand_Prix
2017,2,shanghai,31.3389,121.22,China,2017-04-09,https://en.wikipedia.org/wiki/2017_Chinese_Grand_Prix
2017,3,bahrain,26.0325,50.5106,Bahrain,2017-04-16,https://en.wikipedia.org/wiki/2017_Bahrain_Grand_Prix
2017,4,sochi,43.4057,39.9578,Russia,2017-04-30,https://en.wikipedia.org/wiki/2017_Russian_Grand_Prix
2017,5,catalunya,41.57,2.26111,Spain,2017-05-14,https://en.wikipedia.org/wiki/2017_Spanish_Grand_Prix
2017,6,monaco,43.7347,7.42056,Monaco,2017-05-28,https://en.wikipedia.org/wiki/2017_Monaco_Grand_Prix
